"معرّف المنشور","معرف الحساب","اسم مستخدم الحساب","اسم الحساب",الوصف,"المدة (بالثانية)","وقت النشر","رابط ثابت","نوع المنشور","تعليق البيانات",التاريخ,المشاهدات,"تسجيلات الإعجاب",المشاركات,المتابعات,التعليقات,"عمليات الحفظ",الوصول
18072633866136941,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	هل كان العطر جزء من خطة أبستين؟⁩",45,"02/04/2026 06:08",https://www.instagram.com/reel/DUVrXyaCE41/,"مقطع ريلز على IG",,"الفترة الزمنية",2976,91,47,4,19,6,1847
18086172203213807,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	لو بدك عطر للعيد يلفت الانتباه من أول مرور… هاي 5 عطور نسائية بأداء قوي وفوحان واضح ✨

5️⃣ Angel Nova
حلو ولطيف، فواح بطريقة ناعمة ويعطي إحساس بالأنوثة الراقية.

4️⃣ Narciso Poudrée
عطر باودري أنيق يعطي إحساس النظافة والفخامة… مناسب للبنات اللي تحب العطور الهادية الراقية.

3️⃣ La Belle
فاكهي فانيلي، حضوره قوي ويعمل دوشة بالمكان بطريقة جذابة.

2️⃣ Black Opium
العطر المعروف… سويت دافئ وجذاب، اختيار مضمون للعيد.

🥇 Baccarat Rouge Extrait
عنبري خشبي بلمسة حلوة فخمة، عطر ملكي وفوحانه خرافي ويخلي الكل يسأل: شو العطر؟

🎁 أي عطر عجبك أكثر؟
اطلبه الآن قبل ما تخلص الكمية للعيد!⁩",34,"03/12/2026 10:18",https://www.instagram.com/reel/DVyt-JUCJwB/,"مقطع ريلز على IG",,"الفترة الزمنية",14079,103,52,17,16,58,10692
18087981109925859,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	هاي 5 عطور بآداء قوي مناسبة لمشاوير العيد والمناسبات
من الفريش المنعش… للخشبي الثقيل بثبات طويل.

إذا بدك عطر يفوح ويثبت طول اليوم، هاي القائمة رح تختصر عليك كثير.

أي عطر فيهم عجبك أكثر؟ 👀

وإذا لسه محتار تختار العطر المناسب إلك
ابعثلنا رسالة، وبنرشحلك العطر حسب ذوقك واستخدامك.

اطلب قبل العيد… قبل ما تخلص الكمية.⁩",32,"03/11/2026 15:30",https://www.instagram.com/reel/DVws6CUDG-l/,"مقطع ريلز على IG",,"الفترة الزمنية",24607,105,25,14,29,31,16814
17870223336575094,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","لا تكون زي أسامة…
اطلب عطرك للعيد قبل ما تخلص الكمية.",17,"03/10/2026 11:30",https://www.instagram.com/reel/DVtscW4iOyg/,"مقطع ريلز على IG",,"الفترة الزمنية",2118,66,4,9,16,7,1330
17991606347928423,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","صار جاهز!
.
.
.

مجموعة عطور مختارة بعناية تناسب أجواء العيد والمشاوير الكثيرة.
روائح فخمة، فوحان قوي، وثبات يخليك مميز طول اليوم.

الكمية محدودة… اطلب الآن قبل ما تنفذ.
راسلنا على الخاص واحجز عطرك للعيد 📩",14,"03/08/2026 13:41",https://www.instagram.com/reel/DVoyA5pCN62/,"مقطع ريلز على IG",,"الفترة الزمنية",1874,73,14,1,29,7,1134
18093357659103314,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","يومك كله مشاوير وطلعات…
لازم عطر يعيش معك من الصبح للمسا 🔥

هاي 5 عطور مناسبة للشباب اللي يومهم طويل:

• Montblanc Legend Eau de Toilette
عطر نظيف ومرتب… مثالي للجامعة أو الدوام.

• Jean Paul Gaultier Le Male Le Parfum
فخم ودافئ… يعطيك حضور قوي خصوصًا بالليل.

• Jean Paul Gaultier Scandal Pour Homme
حلو وفوّاح… عطر يلفت الانتباه بسهولة.

• Nishane Hacivat
فاخر ومنعش… أداء قوي ويعطي إحساس نظافة طول اليوم.

• Dolce & Gabbana The One for Men
جذاب وأنيق… مثالي للطلعات والسهرات.

✨ أي عطر فيهم ممكن يكون signature scent ليومك المليان مشاوير.

أي واحد فيهم جربته؟",32,"03/07/2026 13:09",https://www.instagram.com/reel/DVmPvCZCAwA/,"مقطع ريلز على IG",,"الفترة الزمنية",927,51,21,2,28,14,609
18100280023922627,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","بس للشباب !
الي بتدور على عطر فريد ومميز
مناسب للطلعات المسائية 
والسهرات والمناسبات .",14,"03/05/2026 16:59",https://www.instagram.com/reel/DVhg35hiNoy/,"مقطع ريلز على IG",,"الفترة الزمنية",1174,59,36,1,39,8,813
18115128262724430,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","الموضوع تسويق بحت !",0,"03/03/2026 06:37",https://www.instagram.com/reel/DVbQb5ZCD59/,"مقطع ريلز على IG",,"الفترة الزمنية",1129,48,4,0,5,9,809
18074674013126173,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	شو ترش قبل الفطور……
بهالفيديو رشحتلكم ٣ عطور مناسبه ترشها قبل الفطور❤️⁩",0,"03/02/2026 05:31",https://www.instagram.com/reel/DVYkCDyiCL_/,"مقطع ريلز على IG",,"الفترة الزمنية",909,39,1,3,2,7,608
18364451158204137,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","مو بس عطر… طاقة أنوثة وهدوء وثقة بنفس الوقت.

مزيج دافئ من الفانيلا بثلاث طبقات مختلفة مع لمسة لافندر ناعمة تعطيك إحساس نظيف وراقي 

ريحته دافئة، كريمية، ناعمة… perfect للجامعة، الدوام، وحتى الطلعات المسائية الهادية",12,"02/27/2026 07:05",https://www.instagram.com/reel/DVRAaF6iHoX/,"مقطع ريلز على IG",,"الفترة الزمنية",10349,101,10,15,12,18,6447
17939228865153630,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	.
..
…
• قصه امبريال فالي: برغموت ولمسة حمضيات بالبداية، قلب زهري ناعم، قاعدة فانيلا وعنبر دافئة. استعماله مسائي ومناسبات، أفضل شي بالجو البارد.

• قصه لالونا: توت أحمر وبرغموت، ياسمين وزهر برتقال، فانيلا ومسك. عطر ناعم رومانسي، مثالي للمساء والطلعات الهادية.

• قصه ون اند اونلي: افتتاحية حمضيات خفيفة، قلب زهور بيضاء، قاعدة مسك وخشب. يومي، جامعة أو دوام، مناسب لكل الفصول.

• قصه مارتينيك: ليمون وأناناس منعش، لافندر ونفحات مائية، مسك وخشب بالأخير. صيفي نهاري بامتياز.

• قصه هديسون فالي: تفاح وبرغموت، قرفة دافئة، فانيلا وعنبر وخشب. شتوي مسائي، رسمي وحضوره قوي.⁩",47,"02/26/2026 02:49",https://www.instagram.com/reel/DVN-U9oCDnW/,"مقطع ريلز على IG",,"الفترة الزمنية",1011,49,9,2,4,6,608
17872873668434880,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	ما حدا بيعرف قصته 🫣⁩",0,"02/24/2026 12:38",https://www.instagram.com/reel/DVJ4P3uCAWy/,"مقطع ريلز على IG",,"الفترة الزمنية",971,52,14,0,13,5,497
18095830105974870,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور",,0,"02/23/2026 10:23",https://www.instagram.com/reel/DVHD5roiJ9E/,"مقطع ريلز على IG",,"الفترة الزمنية",10,1,0,0,0,0,9
18381360946087853,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور",,0,"02/23/2026 10:22",https://www.instagram.com/reel/DVHD1M0iDdo/,"مقطع ريلز على IG",,"الفترة الزمنية",92,0,0,0,0,0,84
18446544586128076,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور",,0,"02/23/2026 10:22",https://www.instagram.com/reel/DVHDwf4CL2Z/,"مقطع ريلز على IG",,"الفترة الزمنية",13,0,0,0,0,0,11
18113092669726593,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	رمضان كريم 🌙⁩",23,"02/22/2026 10:03",https://www.instagram.com/reel/DVEczOniNzp/,"مقطع ريلز على IG",,"الفترة الزمنية",700,46,0,0,3,8,425
18103792081846786,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور",,0,"02/20/2026 14:20",https://www.instagram.com/reel/DU_wwazCCCL/,"مقطع ريلز على IG",,"الفترة الزمنية",119,0,0,0,0,0,117
18036098339568597,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور",,0,"02/20/2026 11:10",https://www.instagram.com/reel/DU_a-EviCjn/,"مقطع ريلز على IG",,"الفترة الزمنية",0,0,0,0,0,0,
17886465543329249,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","أداء عطرك بفرق من فصل لفصل!
كل فصل واله عطوره
استعمل عطر مناسب للفصل حتى تحصل على أفضل أداء!",16,"02/18/2026 06:05",https://www.instagram.com/reel/DU5uegjiD1j/,"مقطع ريلز على IG",,"الفترة الزمنية",1138,46,2,2,13,7,683
18085307936272070,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور",,16,"02/15/2026 03:03",https://www.instagram.com/reel/DUxrQuxiOsM/,"مقطع ريلز على IG",,"الفترة الزمنية",153,0,0,0,0,0,132
17873566299516196,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","لازم تنتبه على هاي الامور ⚠️",0,"02/14/2026 09:55",https://www.instagram.com/reel/DUv1RCYiHCs/,"مقطع ريلز على IG",,"الفترة الزمنية",182,1,0,0,0,0,167
17966631930008561,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","ليش هيك يا رشدي؟",0,"02/13/2026 12:41",https://www.instagram.com/reel/DUtjqE8iAoX/,"مقطع ريلز على IG",,"الفترة الزمنية",145,0,0,0,0,0,132
18055907987414198,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	ليش هيك يا رشدي؟⁩",0,"02/12/2026 07:26",https://www.instagram.com/reel/DUqa5fOCM2s/,"مقطع ريلز على IG",,"الفترة الزمنية",3431,116,32,24,20,7,2470
18083590889224803,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	لازم تنتبه على هاي الامور!⁩",24,"02/10/2026 07:56",https://www.instagram.com/reel/DUlUy1WCMVQ/,"مقطع ريلز على IG",,"الفترة الزمنية",3899,82,1,26,16,20,2693
17843234448691209,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨.
.
.
	هل كان العطر جزء من خطة أبستين؟⁩",0,"02/10/2026 05:37",https://www.instagram.com/reel/DUlE4N1iN_J/,"مقطع ريلز على IG",,"الفترة الزمنية",130,0,0,0,0,0,124
18013612721662059,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","مش كل عطر قوي = عطر ممتاز.
الفرق الحقيقي يظهر مع الوقت ⏳

العطر الصح مو اللي بفوح من أول رشّة،
العطر الصح هو اللي يتدرّج بالروائح⁩",16,"02/10/2026 05:03",https://www.instagram.com/reel/DUlBA7UiHOp/,"مقطع ريلز على IG",,"الفترة الزمنية",131,0,0,0,0,0,115
18065340998281615,17841458472164408,vanillaa.perfume,"Vanilla perfume|| متجر عطور","⁨	مش كل عطر قوي = عطر ممتاز.
الفرق الحقيقي يظهر مع الوقت ⏳

العطر الصح مو اللي بفوح من أول رشّة،
العطر الصح هو اللي يتدرّج بالروائح⁩",16,"02/08/2026 06:19",https://www.instagram.com/reel/DUgAAE3CJ-C/,"مقطع ريلز على IG",,"الفترة الزمنية",1170,51,2,1,15,6,608
